[*:1]c1ccc(F)c(C(=N)N)c1,[*:1]/C(C)=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl,[*:1]c1ccc2ccnc(N)c2c1
[*:1]c1cc([*:2])c(Br)c(OCC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(C#N)c([*:2])c1
[*:1][H],[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C#N
[*:1]c1cc([*:2])cc(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(C#N)c([*:2])c1
[*:1]C#N,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(F)(F)F
[*:1]I,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C#N
[*:1]OC(C)C,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C#N
[*:2]c1ccc(Cl)c([*:1])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(C#N)c([*:2])c1
[*:1]c1ccc(C#N)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1
[*:1]NC(C)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C#N
[*:1]c1ccc(C#N)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc([N+](=O)[O-])c([*:1])c1
[*:1]c1cc([*:2])c(OC)c(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(NC)c([*:2])c1
[*:1]F,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC
[*:1]c1ccc(NC)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(C(N)=O)c1
[*:1]OCC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC
[*:1]NC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC=O
[*:1]Br,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC
[*:1]c1ccc(NC)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OCC)c1
[*:1]NC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1][H]
[*:1]c1ccc(NC)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(OC)c1
[*:1]NC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(F)(F)F
[*:1]NC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]I
[*:1]NC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OC(C)C
[*:2]c1ccc(NC)c([*:1])c1,[*:2]C(=O)NCC1CCN(c2ccncc2)CC1.[*:1]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(Cl)c([*:2])c1
[*:1]c1ccc(NC)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1
[*:1]NC(C)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC
[*:2]c1ccc([N+](=O)[O-])c([*:1])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(NC)c([*:2])c1
[*:1]c1ccc(F)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(OC)c1
[*:1]c1cc([*:2])cc(C(N)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(OC)c1
[*:1]c1cc([*:2])c(OC)c(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(OCC)c([*:2])c1
[*:1]c1ccc(NC=O)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(OC)c1
[*:1]c1ccc(Br)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(OC)c1
[*:1]c1cc([*:2])c(Br)c(OCC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(OC)c1
[*:1]c1cccc([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(OC)c1
[*:1]c1ccc(C(F)(F)F)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(OC)c1
[*:1]c1ccc(I)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(OC)c1
[*:1]c1cc([*:2])c(OC)c(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(OC(C)C)c([*:2])c1
[*:1]c1cc([*:2])c(OC)c(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc(Cl)c([*:1])c1
[*:1]c1cc([*:2])c(OC)c(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1
[*:1]c1ccc(NC(C)=O)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(OC)c1
[*:1]c1cc([*:2])cc(C(N)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(F)c([*:2])c1
[*:1]OCC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]F
[*:1]NC=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]F
[*:1]F,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]Br
[*:1]c1ccc(F)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OCC)c1
[*:1]F,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1][H]
[*:1]c1cc([*:2])cc(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(F)c([*:2])c1
[*:1]C(F)(F)F,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]F
[*:1]I,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]F
[*:1]F,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OC(C)C
[*:1]c1ccc(Cl)c([*:2])c1,[*:2]C(=O)NCC1CCN(c2ccncc2)CC1.[*:1]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc(F)c([*:1])c1
[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(F)c([*:2])c1
[*:1]NC(C)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]F
[*:1]c1ccc(OCC)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(C(N)=O)c1
[*:1]c1cc([*:2])cc(C(N)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(NC=O)c([*:2])c1
[*:1]c1cc([*:2])cc(C(N)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(Br)c([*:2])c1
[*:1]c1cc([*:2])cc(C(N)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OCC)c1
[*:1]C(N)=O,[*:1]c1cc(OCCc2ccc(Cl)cc2Cl)cc(C(=O)NCC2CCN(c3ccncc3)CC2)c1,[*:1][H]
[*:1]C(N)=O,[*:1]c1cc(OCCc2ccc(Cl)cc2Cl)cc(C(=O)NCC2CCN(c3ccncc3)CC2)c1,[*:1]OC
[*:1]c1cc([*:2])cc(C(N)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(C(F)(F)F)c([*:2])c1
[*:1]c1cc([*:2])cc(C(N)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(I)c([*:2])c1
[*:1]c1cc([*:2])cc(C(N)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(OC(C)C)c([*:2])c1
[*:1]c1cc([*:2])cc(C(N)=O)c1,[*:2]C(=O)NCC1CCN(c2ccncc2)CC1.[*:1]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(Cl)c([*:2])c1
[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(C(N)=O)c1
[*:1]c1ccc(NC(C)=O)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(C(N)=O)c1
[*:1]NC=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OCC
[*:1]OCC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]Br
[*:1][H],[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OCC
[*:1]c1cc([*:2])cc(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(OCC)c([*:2])c1
[*:1]OCC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(F)(F)F
[*:1]I,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OCC
[*:1]OCC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OC(C)C
[*:1]c1ccc(Cl)c([*:2])c1,[*:2]C(=O)NCC1CCN(c2ccncc2)CC1.[*:1]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc(OCC)c([*:1])c1
[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(OCC)c([*:2])c1
[*:1]NC(C)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OCC
[*:1]OCC,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(N)=O
[*:1]NC=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]Br
[*:1]c1ccc(NC=O)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OCC)c1
[*:1]NC=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1][H]
[*:1]c1ccc(NC=O)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(OC)c1
[*:1]C(F)(F)F,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC=O
[*:1]NC=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]I
[*:1]NC=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OC(C)C
[*:1]c1ccc(Cl)c([*:2])c1,[*:2]C(=O)NCC1CCN(c2ccncc2)CC1.[*:1]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc(NC=O)c([*:1])c1
[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(NC=O)c([*:2])c1
[*:1]NC(C)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC=O
[*:1]NC=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(N)=O
[*:1]Br,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1][H]
[*:1]c1ccc(Br)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(OC)c1
[*:1]Br,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(F)(F)F
[*:1]I,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]Br
[*:1]Br,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OC(C)C
[*:1]c1ccc(Br)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc(Cl)c([*:1])c1
[*:1]NC(C)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]Br
[*:1]Br,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(N)=O
[*:1]c1cc([*:2])c(Br)c(OCC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cccc([*:2])c1
[*:1]c1cc([*:2])cc(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OCC)c1
[*:1]c1ccc(C(F)(F)F)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OCC)c1
[*:1]c1cc([*:2])c(Br)c(OCC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(I)c([*:2])c1
[*:1]c1cc([*:2])c(Br)c(OCC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(OC(C)C)c([*:2])c1
[*:2]c1ccc(Cl)c([*:1])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OCC)c1
[*:1]c1cc([*:2])c(Br)c(OCC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(NC(C)=O)c([*:2])c1
[*:1]c1cc([*:2])c(Br)c(OCC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(C(N)=O)c([*:2])c1
[*:1]OC,[*:1]c1cc(OCCc2ccc(Cl)cc2Cl)cc(C(=O)NCC2CCN(c3ccncc3)CC2)c1,[*:1][H]
[*:1][H],[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(F)(F)F
[*:1][H],[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]I
[*:1]OC(C)C,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1][H]
[*:1]Cl,[*:1]c1ccc(OCCc2ccc(Cl)cc2Cl)cc1C(=O)NCC1CCN(c2ccncc2)CC1,[*:1][H]
[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cccc([*:2])c1
[*:1][H],[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC(C)=O
[*:1]C(N)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1][H]
[*:1]c1cc([*:2])c(OC)c(Br)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cccc([*:2])c1
[*:1]c1ccc(C(F)(F)F)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(OC)c1
[*:1]c1cc([*:2])cc(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(I)c([*:2])c1
[*:1]c1ccc(OC(C)C)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(OC)c1
[*:1]c1cc([*:2])cc(OC)c1,[*:2]C(=O)NCC1CCN(c2ccncc2)CC1.[*:1]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(Cl)c([*:2])c1
[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(OC)c1
[*:1]c1cc([*:2])cc(OC)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(NC(C)=O)c([*:2])c1
[*:1]c1ccc(C(N)=O)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])cc(OC)c1
[*:1]I,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(F)(F)F
[*:1]OC(C)C,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(F)(F)F
[*:1]c1ccc(C(F)(F)F)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc(Cl)c([*:1])c1
[*:1]c1ccc(C(F)(F)F)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1
[*:1]C(F)(F)F,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC(C)=O
[*:1]C(F)(F)F,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(N)=O
[*:1]c1ccc(C(F)(F)F)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(Br)c1
[*:1]I,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OC(C)C
[*:1]c1ccc(Cl)c([*:2])c1,[*:2]C(=O)NCC1CCN(c2ccncc2)CC1.[*:1]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc(I)c([*:1])c1
[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(I)c([*:2])c1
[*:1]I,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC(C)=O
[*:1]C(N)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]I
[*:1]c1ccc(I)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(OC)c(Br)c1
[*:1]c1ccc(Cl)c([*:2])c1,[*:2]C(=O)NCC1CCN(c2ccncc2)CC1.[*:1]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc(OC(C)C)c([*:1])c1
[*:1]c1ccc(OC(C)C)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1
[*:1]OC(C)C,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]NC(C)=O
[*:1]C(N)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OC(C)C
[*:1]c1cc([*:2])c(OC)c(Br)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(OC(C)C)c([*:2])c1
[*:1]NC(N)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]OC(C)C
[*:2]c1ccc(Cl)c([*:1])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1
[*:1]c1ccc(Cl)c([*:2])c1,[*:2]C(=O)NCC1CCN(c2ccncc2)CC1.[*:1]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc(NC(C)=O)c([*:1])c1
[*:2]c1ccc(Cl)c([*:1])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(C(N)=O)c([*:2])c1
[*:1]c1cc([*:2])c(OC)c(Br)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:2]c1ccc(Cl)c([*:1])c1
[*:2]c1ccc(NC(N)=O)c([*:1])c1,[*:2]C(=O)NCC1CCN(c2ccncc2)CC1.[*:1]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(Cl)c([*:2])c1
[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(NC(C)=O)c([*:2])c1
[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1ccc(C(N)=O)c([*:2])c1
[*:1]c1ccc(NC(N)=O)c([*:2])c1,[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c(Br)c(OC(C)=O)c1
[*:1]NC(C)=O,[*:1]c1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,[*:1]C(N)=O
